Number,Rk,Fed,Title,Username,Name,Rating,RND1,RND2,RND3,RND4,RND5,RND6,RND7,RND8,RND9,RND10,RND11,Score,Buchholz Cut 1,Buchholz,Sonneborn-Berger,Direct encounter,The greater number of wins including forfeits,Number of wins with Black pieces,AROC 1

121,299,UZB,WCM,FARIZA2018,AFRUZA Khamdamova,2503,L359B,W311W,W393W,W48B,L53W,L64W,W189B,L46W,L148B,W253B,W198W,6,26.5
125,68,UKR,IM,sokidze,Ihor Samunenkov,2814,L166B,L241W,W229B,L205W,W444W,L155B,L282W,W265B,W209B,W161W,W210B,6,26
125,215,TUR,CM,psychokiller48,,2546,W299W,D51W,L19B,W456B,L84W,W224B,D128B,L53W,W208B,W116W,L66B,6,26
127,131,MNE,CM,Andrei_Skvortsov,Andrei Skvortsov,2738,W276B,W411W,L354W,L185B,W142W,D381B,D370W,W215B,W182W,L54B,L73W,6,25.75
128,111,ARM,IM,Ordekalog,Ashot Nadanian,2505,D502B,W199W,W452B,L375B,L273W,W188B,D126W,W172B,L49B,W187W,L75W,6,25.25
129,418,IND,FM,MdImranCM,Md Imran,2504,L432W,U--,W527B,W279B,L27W,W210W,L114B,W138B,W169W,L90B,W201W,6,25
129,322,UKR,FM,ljuks68,Sergei Ljukin,2458,L343W,W316B,L424W,W244W,L190B,W76W,W405W,W371B,L32W,L75B,W187B,6,25
129,448,ESP,CM,deibittowers,David Torres Domínguez,2138,W173W,W465W,L394B,L112W,W103B,W399W,L115B,W238W,L69B,L111B,W207W,6,25
129,214,RUS,GM,Iskusnyh,Sergei Iskusnyh,2649,L411B,W230W,W449B,L53B,W94W,W400W,L61B,W240B,L79W,W202W,L68B,6,25
129,244,HUN,IM,AttilaTurzo,Attila Turzo,2522,U--,L409B,D186W,W300W,L224B,W276W,W153B,D239W,W263B,L66W,W213B,6,25
134,288,RUS,FM,Djager97,,2577,L83W,D323B,W226W,D159W,L57B,L94B,L251W,W289B,W256W,W179B,W211W,6,24.75
134,311,USA,NM,goldenspine,Kaio K,2342,L40B,W297W,W184W,L32B,L183W,W310B,D387B,W164W,L165W,D190B,W181W,6,24.75
136,298,VEN,IM,CristobalBlanco,Cristóbal Blanco,2488,W352W,L110W,L67B,W499W,W159B,L69W,L32B,L251B,W257W,W246B,W190W,6,24.5
136,232,DEU,IM,Chessexplained,Christof Sielecki,2635,W472B,L53W,W220B,L109B,L250W,W409B,W257B,W66W,L68W,L77B,W202W,6,24.5
138,253,USA,FM,TitanChess666,Austin Mei,2494,D317B,L38B,W257W,L59W,D248B,L374W,W229B,L129W,W242B,W239W,W180W,6,24.25
139,198,SWE,FM,M_One1126,,2628,W447B,D395W,L413W,W176B,L50W,W415B,D79W,W250B,L63B,W194W,L77W,6,24
139,313,UKR,GM,Spartakus1975,Спартак Высочин,2674,L353B,W303W,W387W,W428B,L22W,L60W,L369B,W144W,W191B,L148W,W183B,6,24
141,488,BRA,FM,Nf3c5,Iung Alicio de O. Pinheiro,2620,U--,U--,W237W,L245B,W443W,W241B,L116W,L154W,W409B,W205W,W196W,6,23.5
142,269,CZE,FM,YoungMegaMind,Marek Miča,2483,L10B,W525W,L378B,W252W,L127B,D230W,W174W,W382B,L100W,D122B,W186W,6,23.25
143,358,GEO,GM,Bacyanide,Nino Batsiashvili,2422,L383W,L345B,W303W,W482W,W217B,W112B,L350W,W369W,L55B,L73B,W177W,6,23
143,94,RUS,IM,Hatsummei,,2860,L221W,L283B,W444W,W487B,W107W,L27B,L177W,L140B,W245W,W227B,W193W,6,23
145,327,CHE,CM,McCarthyStone,,2456,L109B,L18B,W289W,W293B,L405B,W439W,W404B,D102W,W366B,D82W,L69B,6,22
146,107,USA,CM,BeanScreen,Zachary Tanenbaum,2740,W167B,W469W,W425B,L36B,L29W,W404W,L27B,L181W,U--,W212W,W192B,6,21.5
146,261,RUS,FM,Murtazin_Ruslan,,2438,L55B,W285W,L4W,W483B,W169W,L65B,L94W,W408B,W253W,W358B,L80W,6,21.5
148,459,POL,IM,Kildepiotr,Piotr Piesik,2608,U--,U--,U--,W525B,W495W,W440W,W196B,L202W,W124W,W140B,L53W,6,20
149,149,CAN,IM,HSH1987,,2776,W415W,L8W,L351B,W287W,W346B,W233W,W80B,D36W,L56W,L43B,L107W,5.5,26.75
150,400,CAN,NM,mapleaff,,2295,L358W,L158B,L379B,W295W,W227W,D351B,W218W,L364B,W188W,W152B,L95W,5.5,25.25
151,126,AZE,IM,atigerman,,2661,W328W,W261B,L392W,W351W,D31B,L38B,W270W,W55W,L28B,U--,U--,5.5,25
151,263,GTM,IM,Iljin_Timofey,tim ilyin,2410,L377B,W338W,W113B,D66B,W161W,L347B,L168W,L363B,W167W,L150W,W219B,5.5,25
153,347,IND,FM,Payyappat,,2509,L348B,D89W,L56B,W222W,L119W,W235B,L133W,L269B,W226W,W275B,W216B,5.5,24.75
153,354,POL,CM,cthulhuuu,,2367,W97W,L63W,L90B,W486W,L238B,L179B,W265W,W141B,L119B,D169W,W232W,5.5,24.75
